WEEK,avg_temp,sum_precip,avg_humidity,max_wind
2019-09-01,13,569,71,17
2019-09-08,13,3564,65,18
2019-09-15,14,1469,63,17
2019-09-22,15,7487,68,19
2019-09-29,14,728,66,15
2019-10-06,17,1681,64,17
2019-10-13,15,4101,68,16
2019-10-20,16,1554,64,18
2019-10-27,18,753,56,18
2019-11-03,19,4369,60,18
2019-11-10,17,3433,58,19
2019-11-17,18,972,56,20
2019-11-24,20,675,57,19
2019-12-01,19,3335,58,19
2019-12-08,20,1214,54,19
2019-12-15,21,1366,59,18
2019-12-22,24,266,51,18
2019-12-29,23,3764,59,17
2020-01-05,23,1962,55,19
2020-01-12,22,4984,63,18
2020-01-19,22,8129,66,17
2020-01-26,22,7059,66,18
2020-02-02,24,5323,60,17
2020-02-09,21,21452,67,19
2020-02-16,22,11291,75,15
2020-02-23,21,4446,68,16
2020-03-01,21,4280,68,16
2020-03-08,20,8584,73,16
